scenario,mode,status,runs,main_median_ms,current_median_ms,elapsed_ms_delta_mean,elapsed_ms_delta_min,elapsed_ms_delta_max,instructions_delta_mean,instructions_delta_min,instructions_delta_max,cycles_delta_mean,cycles_delta_min,cycles_delta_max
table_total,optimize,ok,10,43.0,45.0,5.151011778918755,2.2727272727272707,7.14285714285714,2.2219424062559545,2.2206694942644045,2.2226894135648045,4.982654949532681,0.28803922233504586,8.052236008148306
textdoc_invoice,plain,ok,10,1066.0,1028.0,-3.2742434199531734,-7.656395891690004,-1.5564202334630295,-0.5186764835582669,-2.8358399650266874,1.4320041884044565,-2.853597438376725,-7.083915459523704,-0.6105629097427068
textdoc_invoice,optimize,ok,10,1025.0,1023.0,-0.16421181583375244,-3.3081285444234387,4.174757281553387,1.5694637439894188,-0.8688925404135683,3.2092044381741403,0.15227889115517312,-2.3789333816346847,3.8201568384986118
xml_parse,plain,ok,10,880.0,863.0,-1.728118020032734,-2.7272727272727226,-0.7981755986317007,-6.6942493880198235,-6.709501366868098,-6.683592537520355,-1.1001968033569742,-2.1491662623799535,0.07878354714347946
xml_parse,optimize,ok,10,843.0,839.0,0.6042511705506604,-1.3048635824436494,2.1201413427561766,-3.5201313318770366,-3.5549150101387816,-3.489844199879566,2.1070388956044317,0.206352369901186,3.133833526334384
xml_write,plain,ok,10,339.0,292.0,-14.000942954277468,-15.606936416184968,-12.941176470588234,-15.312159808439137,-15.325156964773246,-15.290083705059132,-14.610536012906218,-15.570202997944548,-13.330769237765194
xml_write,optimize,ok,10,320.0,292.0,-8.645023669136034,-9.034267912772586,-8.227848101265822,-10.509794858456234,-10.583687996942592,-10.453209396243434,-9.39199319309941,-10.89247163114726,-8.502083614958933
zip_read,plain,ok,10,18.0,19.0,3.2748538011695905,0.0,5.555555555555558,2.8121643138032404,2.8051131741175572,2.819605653861368,2.5101082770576655,2.1672412965294763,3.0967722783281415
zip_read,optimize,ok,10,19.0,19.0,-1.0526315789473695,-5.263157894736848,0.0,2.7884515287853917,2.7844392800535633,2.7934747145444305,2.7243582647656384,0.7694925372150108,4.495870560721871
zip_write,plain,ok,10,45.0,45.0,0.4545454545454519,-2.2222222222222254,2.2727272727272707,1.5625516011531726,1.5591718879170768,1.567454659924472,1.9956347602929947,0.09459102692115362,3.251137929808956
zip_write,optimize,ok,10,45.0,45.0,-0.4150197628458496,-2.1739130434782594,2.2727272727272707,1.5676316911207921,1.5651368231487162,1.5718854474655375,1.8387699015097603,0.6241893520618325,3.5895486637696816
