scenario,mode,pair,side,status,elapsed_ms,wall_seconds,instructions,cycles,control_sha256,files_sha256
empty_for,plain,4,current,ok,1.0,0.041705,359350983,89556809,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
empty_for,plain,4,main,ok,1.6,0.045029,362237599,109800578,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
empty_for,plain,5,main,ok,1.6,0.044356,362235832,109653466,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
empty_for,plain,5,current,ok,1.0,0.040069,359374949,88213399,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
empty_for,optimize,1,main,ok,1.6,0.044447,362378652,108634925,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
empty_for,optimize,1,current,ok,1.1,0.041931,359508387,88962315,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
empty_for,optimize,2,current,ok,1.1,0.039681,359517347,88070238,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
empty_for,optimize,2,main,ok,1.6,0.044695,362381871,111286345,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
empty_for,optimize,3,main,ok,1.6,0.044639,362374683,111629608,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
empty_for,optimize,3,current,ok,1.0,0.039585,359504666,87733359,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
empty_for,optimize,4,current,ok,1.1,0.039832,359496665,88881964,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
empty_for,optimize,4,main,ok,1.5,0.045325,362390565,109208465,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
empty_for,optimize,5,main,ok,1.6,0.045654,362399593,109791906,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
empty_for,optimize,5,current,ok,1.1,0.040534,359501581,88267165,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
goto_bench,plain,1,main,ok,481.0,0.513782,7356100127,2209357848,48f287c7ba3930f75171f970a1e8e7006ca4226ef34f3cd658945771f97f0056,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
goto_bench,plain,1,current,ok,475.0,0.506528,7672231758,2174681527,48f287c7ba3930f75171f970a1e8e7006ca4226ef34f3cd658945771f97f0056,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
goto_bench,plain,2,current,ok,464.0,0.495896,7672240842,2132667228,48f287c7ba3930f75171f970a1e8e7006ca4226ef34f3cd658945771f97f0056,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
goto_bench,plain,2,main,ok,473.0,0.505066,7356117340,2179597017,48f287c7ba3930f75171f970a1e8e7006ca4226ef34f3cd658945771f97f0056,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
goto_bench,plain,3,main,ok,478.0,0.53021,7356085626,2185840840,48f287c7ba3930f75171f970a1e8e7006ca4226ef34f3cd658945771f97f0056,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
goto_bench,plain,3,current,ok,473.0,0.50513,7672230287,2175932800,48f287c7ba3930f75171f970a1e8e7006ca4226ef34f3cd658945771f97f0056,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
goto_bench,plain,4,current,ok,469.0,0.499565,7672246885,2153034254,48f287c7ba3930f75171f970a1e8e7006ca4226ef34f3cd658945771f97f0056,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
goto_bench,plain,4,main,ok,474.0,0.528283,7356086800,2182854363,48f287c7ba3930f75171f970a1e8e7006ca4226ef34f3cd658945771f97f0056,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
goto_bench,plain,5,main,ok,478.0,0.510992,7356107720,2192445042,48f287c7ba3930f75171f970a1e8e7006ca4226ef34f3cd658945771f97f0056,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
goto_bench,plain,5,current,ok,469.0,0.501563,7672232355,2157336875,48f287c7ba3930f75171f970a1e8e7006ca4226ef34f3cd658945771f97f0056,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
goto_bench,optimize,1,main,ok,481.0,0.51281,7356823673,2214100103,48f287c7ba3930f75171f970a1e8e7006ca4226ef34f3cd658945771f97f0056,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
