scenario,runtime,run,status,elapsed_ms,wall_seconds
table_compare,lua,1,ok,6261.28,7.146788154030219
table_compare,lua,2,ok,6208.222,7.093031171010807
table_compare,lua,3,ok,6467.335,7.420901303063147
table_compare,luajit,1,ok,2262.339,3.6759712889324874
table_compare,luajit,2,ok,2260.616,3.7341461810283363
table_compare,luajit,3,ok,2255.972,3.684513177955523
table_compare,python,1,ok,1997.034,2.577909228974022
table_compare,python,2,ok,1991.629,2.5764687889022753
table_compare,python,3,ok,2124.485,2.7300752860028297
table_compare,oscript,1,ok,33572.0,42.73793141206261
table_compare,oscript,2,ok,34702.0,43.61796822503675
table_compare,oscript,3,ok,34285.0,43.20513665408362
table_compare2,lua,,unavailable,,
table_compare2,luajit,,unavailable,,
table_compare2,python,,unavailable,,
table_compare2,oscript,1,exit=1,,13.878189733019099
table_save_load,lua,,unavailable,,
table_save_load,luajit,,unavailable,,
table_save_load,python,,unavailable,,
table_save_load,oscript,1,exit=1,,0.22850804100744426
table_sort,lua,1,ok,317.068,0.38157713401596993
table_sort,lua,2,ok,330.493,0.3841238010209054
table_sort,lua,3,ok,322.778,0.37469187704846263
table_sort,lua,4,ok,325.974,0.3823736789636314
table_sort,lua,5,ok,343.795,0.4028361280215904
table_sort,luajit,1,ok,202.661,0.2362981040496379
table_sort,luajit,2,ok,200.685,0.2365614150185138
table_sort,luajit,3,ok,197.034,0.23036254395265132
table_sort,luajit,4,ok,201.691,0.23516470601316541
table_sort,luajit,5,ok,186.551,0.2228375329868868
table_sort,python,1,ok,135.49,0.20407525589689612
table_sort,python,2,ok,123.369,0.19065972603857517
table_sort,python,3,ok,133.676,0.2014199789846316
table_sort,python,4,ok,113.196,0.17708204395603389
table_sort,python,5,ok,115.829,0.18737325398251414
table_sort,oscript,1,ok,532.0,1.2119145350297913
table_sort,oscript,2,ok,551.0,1.224387138034217
table_sort,oscript,3,ok,574.0,1.226544042932801
table_sort,oscript,4,ok,556.0,1.210206493968144
table_sort,oscript,5,ok,556.0,1.2129467109916732
table_total,lua,1,ok,120.5,0.12848333700094372
table_total,lua,2,ok,123.685,0.1316340679768473
table_total,lua,3,ok,127.535,0.13456430798396468
table_total,lua,4,ok,119.815,0.12717328791040927
table_total,lua,5,ok,123.135,0.13133307604584843
table_total,luajit,1,ok,39.31,0.04591294005513191
table_total,luajit,2,ok,41.403,0.048817948903888464
table_total,luajit,3,ok,40.387,0.047247369075194
table_total,luajit,4,ok,41.404,0.04820592503529042
table_total,luajit,5,ok,42.309,0.049281192012131214
table_total,python,1,ok,46.416,0.06287568400148302
table_total,python,2,ok,49.978,0.06548450095579028
table_total,python,3,ok,45.279,0.061774936970323324
table_total,python,4,ok,47.476,0.06382040097378194
table_total,python,5,ok,47.017,0.06285009393468499
table_total,oscript,1,ok,692.0,0.9241254240041599
table_total,oscript,2,ok,690.0,0.9301119539886713
table_total,oscript,3,ok,682.0,0.917407309054397
table_total,oscript,4,ok,692.0,0.9361910850275308
table_total,oscript,5,ok,693.0,0.9343914329074323
textdoc_invoice,lua,1,ok,212.318,1.058868542080745
textdoc_invoice,lua,2,ok,214.294,1.046054736012593
textdoc_invoice,lua,3,ok,213.402,1.0620222430443391
textdoc_invoice,lua,4,ok,211.71,1.058097388013266
textdoc_invoice,lua,5,ok,207.996,1.0401235659373924
textdoc_invoice,luajit,1,ok,100.829,0.378091951017268
textdoc_invoice,luajit,2,ok,96.53,0.37145732599310577
textdoc_invoice,luajit,3,ok,95.397,0.3695778329856694
textdoc_invoice,luajit,4,ok,95.15,0.36709925602190197
textdoc_invoice,luajit,5,ok,95.971,0.3653129849117249
textdoc_invoice,python,1,ok,162.446,0.20474010100588202
